,Peso_de_muestra_vegetal_(g),Cantidad_de_N_en_muestra_vegetal_(g),Cantidad_de_C_en_muestra_vegetal_(g),Porcentaje_N_de_la_muestra_vegetal,Porcentaje_C_de_la_muestra_vegetal,Peso_de_muestra_de_fruto_(g),Cantidad_de_N_en_muestra_de_fruto_(g),Cantidad_de_C_en_muestra_de_fruto_(g),Porcentaje_N_de_la_muestra_fruto,Porcentaje_C_de_la_muestra_fruto,Nitrógeno_total_en_planta,Carbono_total_en_planta,Nitrógeno_total_en_fruto,Carbono_total_en_fruto,N1,N2,N3,N4,Primer_peso_fresco_hoja,Primer_peso_fresco_de_raíz,Primer_peso_fresco_planta,Primer_peso_seco_hoja,Primer_peso_seco_de_raíz,Primer_peso_seco_planta,Harvest_Index_S_(His),Root_Index_(Ri),CHLOR,FLV,ANT,NBI,NDVI,PhipII
576,0.0845,0.00148,0.0293,1.74775,34.66338,0.1383,0.00249,0.0557,1.80196,40.2541,2.790106508875739,55.236568047337265,0.4392338394793926,9.825431670281995,230.11096396943412,548.2211767471908,0.0156286,1971.5745125348192,10.53,2.49,13.02,0.861,0.112,0.973,0.1328063757512412,0.15623639055831376,28.717,0.566,0.222,50.72,0.613321522276409,0.849
577,0.0808,0.0014,0.0269,1.73045,33.30931,0.1438,0.00271,0.0599,1.88115,41.67896,1.7517326732673268,33.658292079207925,0.48352204450625874,10.68744297635605,209.22264616227812,724.522274924614,0.018811500000000002,2851.5688345659137,9.15,3.43,12.58,0.795,0.136,0.931,0.20241091221786567,0.05837941888810874,19.145,0.527,0.257,36.29,0.586504831889284,0.852
578,0.083,0.00131,0.0254,1.57422,30.56695,0.1441,0.00225,0.0582,1.56286,40.41539,1.2263493975903617,23.77807228915663,0.33339347675225534,8.623777931991672,247.90368047663506,581.4203237754948,0.0180196,2597.277357289606,7.578,2.634,10.212,0.678,0.157,0.8350000000000001,0.21556354238177922,0.06966038040625125,22.57,0.546,0.252,41.34,0.552368865604224,0.827
579,0.0827,0.00208,0.0313,2.5198,37.90441,0.1436,0.00288,0.0605,2.00484,42.16492,2.27869407496977,34.28996372430471,0.1434183844011142,3.0127820334261832,234.87248206521767,245.20986694500488,0.018262100000000003,1051.7700397975777,6.5,0.9,7.4,0.709,0.107,0.816,0.07315526183875358,0.08695563216744587,26.74,0.553,0.213,48.39,0.63888322323977,0.861
580,0.0816,0.00189,0.0291,2.32067,35.6284,0.1404,0.00268,0.0596,1.90698,42.48523,1.8158823529411763,27.958823529411767,0.10836438746438747,2.4098945868945867,205.99432227355757,162.82391857987471,0.0190698,639.6164004304314,6.4,0.4,6.800000000000001,0.722,0.129,0.851,0.06752143868120888,0.09515087360395828,20.936,0.516,0.257,40.54,0.592734072086759,0.864
581,0.0857,0.00213,0.0344,2.48761,40.09399,0.1423,0.0026,0.0597,1.82621,41.98235,2.8184597432905485,45.51878646441074,0.17810822206605761,4.089638791286016,234.7684662483784,179.96231607791754,0.0200484,847.0344132456927,7.5,1.5,9.0,0.698,0.131,0.829,0.07915678695553319,0.04141358365543898,24.765,0.555,0.218,44.6,0.62732566945295,0.842
582,0.0817,0.0019,0.0323,2.32245,39.5406,0.1439,0.00303,0.0624,2.10863,43.39738,1.4232558139534885,24.19534883720931,0.2095732453092425,4.315963863794301,290.03046175927074,327.91092666357383,0.024367899999999994,2317.4885989629943,10.03,2.16,12.190000000000001,0.931,0.188,1.119,0.1398816634576195,0.08573074923053138,24.192,0.577,0.227,41.9,0.632648619606824,0.863
583,0.0836,0.00197,0.0317,2.36038,37.91767,0.1399,0.00294,0.0614,2.10218,43.89901,1.8568899521531104,29.8799043062201,0.135693924231594,2.8338799142244464,228.56101837792698,166.91031718906578,0.0210218,801.9646859520537,9.87,2.16,12.03,0.839,0.129,0.968,0.07573571671534302,0.04574404447728632,33.644,0.509,0.221,66.16,0.672630872764174,0.853
584,0.0821,0.00203,0.0315,2.46857,38.36484,0.1406,0.00343,0.0617,2.43679,43.84947,1.6319123020706456,25.322777101096225,0.3926935277382646,7.063903982930299,242.4091907946254,242.58250739995563,0.0210863,1239.9636207051387,12.4,3.05,15.45,1.041,0.193,1.234,0.19607293810979695,0.08282884880080879,26.997,0.503,0.21,53.69,0.615047232327638,0.851
585,0.083,0.00191,0.0302,2.29694,36.39954,0.1435,0.00358,0.0677,2.49487,47.16833,1.6016385542168674,25.324337349397588,0.14734132404181188,2.7863149825783977,249.65368927959858,150.0159104143273,0.019919399999999997,746.0218764573539,10.05,2.462,12.512,0.867,0.183,1.05,0.07821894948745796,0.19865970916218578,24.421,0.653,0.258,37.38,0.595834043949325,0.829
586,0.0845,0.00213,0.0315,2.51737,37.23202,0.1436,0.00306,0.0627,2.12762,43.66164,1.8905325443786982,27.9585798816568,0.14935612813370475,3.060336350974931,281.4198557643996,147.1485145649595,0.0212762,881.058372537466,10.782,2.666,13.447999999999999,0.942,0.185,1.127,0.08546622931629455,0.12681534953480716,25.38,0.539,0.215,47.06,0.593185551546947,0.85
587,0.0852,0.00182,0.0319,2.13752,37.43436,0.1398,0.00278,0.0609,1.99194,43.55704,2.3711267605633806,41.559859154929576,0.12605450643776822,2.7614098712446347,383.1732334318601,91.06528210001316,0.024948700000000004,870.5544140492069,19.3,3.72,23.02,1.848,0.296,2.144,0.05402295911845166,0.09289324095143132,24.342,0.533,0.222,45.7,0.645309580673333,0.861
588,0.0817,0.00153,0.0296,1.86922,36.21075,0.1413,0.00267,0.0639,1.8884,45.23172,1.887686658506732,36.51995104039169,0.2632585987261146,6.300458598726114,305.9940565907486,247.8978534315328,0.016331000000000002,1238.7924109674943,17.43,3.05,20.48,1.433,0.232,1.665,0.12143081267649825,0.13422584806331275,21.96,0.596,0.249,36.85,0.583925734005615,0.84
589,0.0833,0.00169,0.0299,2.0234,35.89318,0.1399,0.00257,0.0601,1.83791,42.95956,2.1261944777911164,37.6172869147659,0.23714174410293065,5.545610436025733,337.2003048987965,226.18260447529346,0.0183791,1401.7526959077502,14.2,1.8,16.0,1.273,0.186,1.4589999999999999,0.10966875939817687,0.132530222837676,20.619,0.563,0.261,36.6,0.583052701962343,0.88
590,0.0818,0.00196,0.0302,2.39609,36.85948,0.1453,0.00237,0.0611,1.6331,42.07742,2.6380929095354526,40.64816625916871,0.20941796283551273,5.398918788713008,419.9416114310471,196.0103995076992,0.018884,1554.397238432549,22.22,2.4,24.619999999999997,2.174,0.168,2.342,0.10443390624618713,0.11713126021848233,21.35,0.586,0.23,36.44,0.592380882523249,0.843
591,0.0845,0.00204,0.0332,2.41403,39.27706,0.1406,0.00338,0.0648,2.40362,46.07165,2.158295857988166,35.125207100591716,0.09233698435277383,1.7702475106685633,446.25964778615,103.69065525566758,0.022599800000000003,1045.7595350332122,29.86,4.77,34.629999999999995,2.735,0.299,3.034,0.04119432438519536,0.10724895700389314,23.867,0.64,0.253,37.27,0.589953343952047,0.839
592,0.0841,0.00226,0.0314,2.68408,37.35619,0.1394,0.0035,0.0615,2.512,44.15315,1.5317479191438763,21.28180737217598,0.11903515064562412,2.0916176470588232,406.05607012013957,68.98243281875658,0.02512,703.6296777120963,26.0,5.1,31.1,2.035,0.272,2.3070000000000004,0.07678851978426005,0.1376718874005928,23.181,0.528,0.252,43.92,0.582199376201923,0.848
593,0.0835,0.00159,0.0331,1.90458,39.66065,0.1397,0.00316,0.0615,2.25998,44.00921,1.7823233532934133,37.1037125748503,0.17715905511811025,3.4478740157480314,187.96069128644558,120.73462346758944,0.024036199999999997,545.462218691312,8.001999999999999,1.4460000000000002,9.447999999999999,0.742,0.121,0.863,0.07721429134789809,0.11731997791623945,21.217,0.586,0.247,36.22,0.570300508620922,0.795
594,0.0859,0.0015,0.0327,1.74236,38.0372,0.1432,0.00255,0.0618,1.77745,43.14649,1.988940628637951,43.35890570430733,0.10053980446927374,2.436611731843575,275.34094090173477,158.27221283377813,0.020168600000000002,878.9237890570844,12.8,0.6,13.4,1.046,0.143,1.189,0.047228681846318565,0.07863081993542234,25.69,0.526,0.244,48.8,0.611934075927747,0.854
595,0.0865,0.00138,0.034,1.59652,39.35103,0.1396,0.00181,0.0579,1.29688,41.5093,1.7182196531791907,42.332947976878614,0.17565816618911173,5.619120343839541,269.8455795244738,296.6295673910506,0.0129688,1038.0769293789942,15.040000000000001,2.32,17.36,1.329,0.217,1.546,0.1117379255740301,0.12041435735022434,23.675,0.582,0.243,40.71,0.615069576589409,0.851
596,0.0827,0.00181,0.0306,2.18606,36.98964,0.1403,0.00283,0.0607,2.01686,43.28075,2.751112454655381,46.5105199516324,0.14878175338560226,3.1911846044191012,405.072307871649,82.34986242005232,0.0177745,592.9155290115831,16.4,2.0,18.4,1.472,0.225,1.697,0.05542697405993567,0.10745739276804234,23.394,0.544,0.239,42.97,0.636238942326383,0.871
597,0.0819,0.00166,0.0319,2.02358,38.92874,0.1417,0.00246,0.0602,1.73422,42.46901,1.5951404151404152,30.65360195360195,0.11602103034580098,2.83921383203952,282.81425634781783,148.65831295400793,0.017925899999999998,753.6530607582652,15.0,2.5,17.5,1.481,0.216,1.697,0.07827085016923742,0.13820081280817023,21.606,0.516,0.243,41.87,0.637502872517052,0.861
598,0.0836,0.00177,0.0339,2.11472,40.4954,0.1409,0.00236,0.0618,1.67528,43.85534,1.7636483253588517,33.77834928229665,0.09625919091554294,2.5206855926188787,358.6941754115034,94.66107476948062,0.0167528,568.830872899835,28.33,6.48,34.81,2.467,0.326,2.793,0.06453895134030344,0.11005424101878784,23.333,0.605,0.239,38.57,0.640917466485914,0.831
599,0.0833,0.00197,0.0321,2.35952,38.50117,0.1408,0.00252,0.061,1.79259,43.29162,2.2466986794717885,36.60864345738295,0.12736022727272728,3.082926136363636,318.0788474566858,124.13413734925479,0.017342200000000002,684.7471132576667,17.44,2.38,19.82,1.869,0.239,2.108,0.06968545575619883,0.10674135297113087,24.323,0.563,0.233,43.17,0.580902564169339,0.845
600,0.0813,0.0017,0.031,2.09244,38.18537,0.1404,0.00305,0.0616,2.16911,43.84806,2.32939729397294,42.477244772447726,0.17902457264957264,3.615709401709402,230.39766443784512,161.06652154256872,0.0226879,841.9332305439318,14.0,2.7,16.7,1.167,0.193,1.36,0.06888106919868606,0.11367340627376901,25.601,0.58,0.244,44.13,0.599236948054655,0.87
601,0.0829,0.00128,0.0339,1.54191,40.88905,0.14,0.00296,0.0612,2.11342,43.71001,1.5548371531966225,41.1788902291918,0.1175542857142857,2.430514285714285,283.0810112985401,116.04291015349429,0.021134200000000002,694.2488404189619,18.78,3.11,21.89,1.925,0.192,2.117,0.05232448710709579,0.08940335027291549,22.621,0.833,0.264,27.15,0.570856199730558,0.839
602,0.0828,0.00124,0.0335,1.49611,40.44646,0.1414,0.00321,0.0625,2.26879,44.19708,1.5050724637681157,40.66123188405797,0.14258847241867045,2.7762553041018387,293.4758844428282,165.9059846812101,0.021691099999999998,1056.1267655645395,10.2,2.3,12.5,0.956,0.146,1.1019999999999999,0.058821325891310255,0.11050655079087104,21.691,0.685,0.253,31.65,0.58701090214369,0.852
603,0.0863,0.00146,0.0344,1.69612,39.84689,0.1406,0.00309,0.0621,2.19699,44.18896,1.3246581691772883,31.211123986095014,0.37227247510668565,7.481592460881935,405.1114531142556,88.20471873667488,0.0226043,807.7136149938872,19.99,2.68,22.669999999999998,2.009,0.215,2.2239999999999998,0.17785781035080167,0.07349930175663331,23.587,0.577,0.239,40.85,0.634997899160006,0.84
604,0.0841,0.00154,0.0332,1.82522,39.42128,0.1419,0.00307,0.0633,2.16598,44.5886,1.2085612366230678,26.054696789536266,0.3712341789992953,7.654437632135306,283.1257314287599,358.06938586973934,0.0216598,2195.8414300501645,17.9,2.5,20.4,1.564,0.172,1.736,0.20633966257410505,0.06734087711492442,22.021,0.666,0.251,33.04,0.579793641423405,0.833
605,0.081,0.00189,0.0305,2.33495,37.60152,0.1406,0.00318,0.0629,2.26043,44.76628,1.4373333333333331,23.195061728395057,0.13678975817923186,2.7056842105263157,274.39046485192506,364.7315321822478,0.0219699,2198.7224290308054,17.8,2.8,20.6,1.448,0.165,1.613,0.08940397350993379,0.05617313150425733,23.769,0.586,0.255,40.58,0.5725576817744,0.833
606,0.0859,0.00203,0.0341,2.35943,39.66499,0.1417,0.00329,0.0669,2.32427,47.21896,2.275774155995343,38.22852153667054,0.23371305575158785,4.752402258292166,367.582004832293,88.675429428557,0.0171408,558.7128114798523,21.35,1.99,23.34,1.817,0.174,1.9909999999999999,0.09463550382641069,0.06769080345223098,26.983,0.523,0.204,51.63,0.639164303610526,0.845
607,0.0828,0.00177,0.0312,2.14304,37.73757,0.1422,0.00295,0.0662,2.07402,46.51925,1.6160869565217393,28.486956521739135,0.1697598452883263,3.8095260196905762,194.60976979740906,248.42910269082108,0.020740199999999997,1002.7208596182205,9.5,1.9,11.4,0.755,0.107,0.862,0.09766897819366695,0.08235560913311768,24.329,0.559,0.219,43.5,0.646505151126166,0.855
608,0.0851,0.00118,0.0319,1.39066,37.49185,0.1391,0.00238,0.0587,1.71408,42.22683,1.5224911868390132,41.15887191539366,0.09439583033788641,2.3281660675772824,340.2534615526023,174.78692113861973,0.023242699999999998,1382.2864830820906,14.2,2.7,16.9,1.334,0.175,1.5090000000000001,0.047842035432763594,0.15088842061448007,20.488,0.635,0.264,32.27,0.574787903132044,0.841
609,0.0838,0.0017,0.0313,2.02628,37.38674,0.1415,0.0028,0.0609,1.97665,43.02505,1.7547732696897373,32.30847255369929,0.24301625441696117,5.2856035335689056,370.0259558034322,106.26015110918459,0.028253300000000002,1110.8918976244345,18.6,1.8,20.400000000000002,1.68,0.258,1.938,0.12432552818861926,0.07693787266782072,25.187,0.661,0.233,38.11,0.622024849820873,0.809
610,0.0826,0.00157,0.0307,1.89741,37.21963,0.1428,0.0027,0.0625,1.88957,43.74609,1.4616585956416464,28.581476997578694,0.14694957983193277,3.401610644257703,322.9024364202129,142.20538041233766,0.0188957,867.6615165618424,14.166,0.75,14.916,1.247,0.164,1.411,0.09178949357520785,0.08975812547241117,23.861,0.557,0.261,42.87,0.59982597669292,0.837
611,0.0837,0.00177,0.0325,2.11293,38.87665,0.1422,0.00402,0.0685,2.82533,48.16926,1.4527956989247315,26.675627240143374,0.18813713080168776,3.2058192686357243,358.86189108432086,202.1905941406121,0.019766500000000003,1434.2275699451095,17.2,1.6,18.8,1.409,0.148,1.557,0.08831530754429034,0.06502554575011611,25.075,0.63,0.252,39.77,0.609044982649917,0.856
612,0.0821,0.00153,0.0339,1.8577,41.33744,0.139,0.0024,0.0613,1.72455,44.06883,1.522545676004872,33.73483556638246,0.1181525179856115,3.017812230215827,277.5021416958172,43.028334161698794,0.0229082,273.5343285616154,15.638,2.5300000000000002,18.168,1.423,0.218,1.641,0.07728448324542878,0.0372700269925347,26.907,0.58,0.223,46.38,0.607082057022447,0.859
613,0.082,0.00156,0.0317,1.90422,38.60814,0.1428,0.00254,0.062,1.78175,43.41705,1.5428780487804878,31.352073170731707,0.1313934173669468,3.2072408963585435,245.07100668737405,178.08638686368667,0.0178175,777.62358656367,9.4,0.9,10.3,0.932,0.144,1.076,0.08348118932724581,0.11075073174590618,23.087,0.669,0.249,34.5,0.595981972170935,0.824
614,0.0839,0.00197,0.033,2.34709,39.32507,0.1396,0.0032,0.064,2.29082,45.8103,1.9629558998808105,32.88200238379023,0.046326647564469914,0.9265329512893982,344.19897195484754,117.46041464777308,0.0172455,697.2313220405475,14.8,2.3,17.1,1.571,0.213,1.784,0.023604022377687713,0.08525945737611099,24.254,0.665,0.26,36.47,0.628721662909547,0.838
615,0.0821,0.0018,0.0305,2.19625,37.13748,0.143,0.00272,0.0624,1.90392,43.66592,1.4667478684531061,24.853227771010964,0.10254209790209792,2.3524363636363637,306.1221544966624,271.9385580229981,0.02018,1679.9127005634052,10.879999999999999,3.8020000000000005,14.681999999999999,1.229,0.245,1.4740000000000002,0.07457359837324147,0.09683086414629759,25.49,0.538,0.219,47.38,0.648321623154235,0.872
616,0.0821,0.00232,0.0317,2.83062,38.56762,0.1387,0.00339,0.0683,2.44206,49.25997,2.3962971985383676,32.74250913520097,0.16598046142754147,3.344090122566691,399.3583804557861,100.46747477018837,0.024420599999999997,979.8162075870632,18.646,4.38,23.026,2.11,0.315,2.425,0.07414483955847191,0.07861034381107315,33.561,0.608,0.189,55.22,0.648546256395202,0.815
617,0.0858,0.00224,0.0317,2.60663,36.9886,0.1412,0.00285,0.0616,2.018,43.65088,1.9214918414918416,27.192540792540793,0.2843944759206799,6.146912181303117,179.0530994199581,177.88611373665208,0.019039200000000003,606.4187017103822,5.1,1.5,6.6,0.625,0.109,0.734,0.16067966700878092,0.08780932831565742,29.655,0.59,0.203,50.26,0.639486177982694,0.875
618,0.0819,0.00159,0.0324,1.94062,39.58583,0.1402,0.00265,0.0602,1.89276,42.97215,1.656007326007326,33.74505494505494,0.35818473609129814,8.136875891583452,368.37820144254755,259.7256071894468,0.0186353,1782.9742950345988,17.4,1.0,18.4,1.739,0.215,1.9540000000000002,0.1817745803357314,0.10743405275779376,24.113,0.493,0.251,48.89,0.615310241340155,0.831
619,0.0817,0.00154,0.0279,1.88645,34.13232,0.1416,0.00299,0.0619,2.10818,43.73522,2.8349571603427175,51.36058751529989,0.522722104519774,10.821571327683616,434.9370749319551,336.2722732126836,0.021081799999999998,3083.3667021420733,19.676,1.28,20.956,1.798,0.221,2.019,0.14133196311838087,0.17070594616197082,24.975,0.508,0.219,49.2,0.636009660251351,0.863
